mondo id	mondo label	phenotypes to high-level hpo	histopheno	of body system or component	of developmental or physiological process	of etiologic mechanism	of genetic or genomic mechanism	of primarily extrinsic mechanism	of molecular mechanism
MONDO:0012454	alcohol sensitivity, acute	Abnormality of metabolism/homeostasis; Abnormality of the integument	integument; metabolism_homeostasis		psychiatric disorder		hereditary disease		
MONDO:0007184	alopecia, androgenetic, 1	Abnormality of the integument	integument	integumentary system disorder			hereditary disease		
MONDO:0013282	alpha 1-antitrypsin deficiency	Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of metabolism/homeostasis; Abnormality of the cardiovascular system; Abnormality of the immune system	digestive_system; respiratory; endocrine; metabolism_homeostasis; blood; immune_system; integument; neoplasm; musculature; connective_tissue; growth	syndromic disease; respiratory system disorder	metabolic disease		hereditary disease		
MONDO:0010602	hemophilia A	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system	blood; musculature; skeletal_system; nervous_system; integument; digestive_system; head_neck; metabolism_homeostasis; genitourinary_system; respiratory; connective_tissue; immune_system; prenatal_or_birth	hematologic disorder			hereditary disease		
MONDO:0011382	sickle cell disease	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	blood; digestive_system; immune_system; endocrine; nervous_system; genitourinary_system; head_neck; eye; metabolism_homeostasis; musculature; skeletal_system; integument; respiratory	hematologic disorder			hereditary disease		
MONDO:0010382	fragile X-associated tremor/ataxia syndrome	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of the endocrine system; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the eye	nervous_system; musculature; genitourinary_system; head_neck; digestive_system; eye; endocrine; ear	syndromic disease; nervous system disorder			hereditary disease		
MONDO:0008056	myotonic dystrophy type 1	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of prenatal development or birth; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the eye	nervous_system; musculature; head_neck; digestive_system; endocrine; eye; genitourinary_system; prenatal_or_birth; neoplasm; respiratory; metabolism_homeostasis; integument; blood; skeletal_system; growth	musculoskeletal system disorder; syndromic disease; cardiovascular disorder; nervous system disorder			hereditary disease		
MONDO:0018975	neurofibromatosis type 1	Abnormality of limbs; Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; head_neck; neoplasm; musculature; skeletal_system; integument; eye; digestive_system; growth; endocrine; genitourinary_system; respiratory; blood; ear; immune_system; connective_tissue; breast; metabolism_homeostasis	syndromic disease; nervous system disorder	disorder of development or morphogenesis	cancer or benign tumor	hereditary disease; inherited disease susceptibility		RASopathy
MONDO:0008087	hereditary neuropathy with liability to pressure palsies	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of the voice; Abnormality of the ear; Constitutional symptom	nervous_system; musculature; respiratory; skeletal_system; head_neck; digestive_system; ear	nervous system disorder			hereditary disease; chromosomal disorder		
MONDO:0008294	acute intermittent porphyria	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the voice; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the genitourinary system; Abnormality of the cardiovascular system	nervous_system; digestive_system; genitourinary_system; musculature; metabolism_homeostasis; respiratory; integument; neoplasm; blood; endocrine; skeletal_system; head_neck; growth	integumentary system disorder; digestive system disorder; endocrine system disorder	metabolic disease		hereditary disease		
MONDO:0009861	phenylketonuria	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the musculoskeletal system; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; head_neck; musculature; skeletal_system; integument; metabolism_homeostasis; eye; genitourinary_system; digestive_system; blood; immune_system; growth; ear		metabolic disease		hereditary disease		
MONDO:0008564	DiGeorge syndrome	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the voice; Abnormality of the respiratory system; Abnormal cellular phenotype; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	head_neck; digestive_system; musculature; immune_system; nervous_system; skeletal_system; eye; blood; endocrine; genitourinary_system; respiratory; metabolism_homeostasis; ear; connective_tissue; integument; growth	cardiovascular disorder; immune system disorder; nervous system disorder	disorder of development or morphogenesis		hereditary disease; chromosomal disorder		
